loggernet_variable,cr1000_name,var_type,research_name,definition,units,link,logger,var_role,table
Delta_Temp_Pin(2),delta_temp_pin2,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,250,lowmarsh,plot,
Delta_Temp_Pin(3),delta_temp_pin3,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,260,lowmarsh,plot,
Delta_Temp_Pin(4),delta_temp_pin4,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,241,lowmarsh,plot,
Delta_Temp_Pin(5),delta_temp_pin5,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,251,lowmarsh,plot,
Delta_Temp_Pin(6),delta_temp_pin6,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,261,lowmarsh,plot,
Delta_Temp_Pin(7),delta_temp_pin7,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,242,lowmarsh,plot,
Delta_Temp_Pin(8),delta_temp_pin8,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,252,lowmarsh,plot,
Delta_Temp_Pin(9),delta_temp_pin9,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,262,lowmarsh,plot,
Delta_Temp_Lag(1),delta_temp_lag1,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,240,lowmarsh,plot,
Delta_Temp_Lag(2),delta_temp_lag2,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,250,lowmarsh,plot,
Delta_Temp_Lag(3),delta_temp_lag3,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,260,lowmarsh,plot,
Delta_Temp_Lag(4),delta_temp_lag4,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,241,lowmarsh,plot,
Delta_Temp_Lag(5),delta_temp_lag5,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,251,lowmarsh,plot,
Delta_Temp_Lag(6),delta_temp_lag6,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,261,lowmarsh,plot,
Delta_Temp_Lag(7),delta_temp_lag7,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,242,lowmarsh,plot,
Delta_Temp_Lag(8),delta_temp_lag8,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,252,lowmarsh,plot,
Delta_Temp_Lag(9),delta_temp_lag9,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,262,lowmarsh,plot,
Delta_Temp_Surface(1),delta_temp_surface1,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,240,lowmarsh,plot,
Delta_Temp_Surface(2),delta_temp_surface2,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,250,lowmarsh,plot,
Delta_Temp_Surface(3),delta_temp_surface3,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,260,lowmarsh,plot,
Delta_Temp_Surface(4),delta_temp_surface4,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,241,lowmarsh,plot,
Delta_Temp_Surface(5),delta_temp_surface5,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,251,lowmarsh,plot,
Delta_Temp_Surface(6),delta_temp_surface6,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,261,lowmarsh,plot,
Delta_Temp_Surface(7),delta_temp_surface7,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,242,lowmarsh,plot,
Delta_Temp_Surface(8),delta_temp_surface8,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,252,lowmarsh,plot,
Delta_Temp_Surface(9),delta_temp_surface9,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,262,lowmarsh,plot,
Delta_Temp_Deep(1),delta_temp_deep1,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,240,lowmarsh,plot,
Delta_Temp_Deep(2),delta_temp_deep2,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,250,lowmarsh,plot,
Delta_Temp_Deep(3),delta_temp_deep3,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,260,lowmarsh,plot,
Delta_Temp_Deep(4),delta_temp_deep4,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,241,lowmarsh,plot,
Delta_Temp_Deep(5),delta_temp_deep5,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,251,lowmarsh,plot,
Delta_Temp_Deep(6),delta_temp_deep6,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,261,lowmarsh,plot,
Delta_Temp_Deep(7),delta_temp_deep7,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,242,lowmarsh,plot,
Delta_Temp_Deep(8),delta_temp_deep8,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,252,lowmarsh,plot,
Delta_Temp_Deep(9),delta_temp_deep9,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,262,lowmarsh,plot,
Delta_Temp_Above(1),delta_temp_above1,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,240,lowmarsh,plot,
Delta_Temp_Above(2),delta_temp_above2,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,250,lowmarsh,plot,
Delta_Temp_Above(3),delta_temp_above3,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,260,lowmarsh,plot,
Delta_Temp_Above(4),delta_temp_above4,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,241,lowmarsh,plot,
Delta_Temp_Above(5),delta_temp_above5,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,251,lowmarsh,plot,
Delta_Temp_Above(6),delta_temp_above6,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,261,lowmarsh,plot,
Delta_Temp_Above(7),delta_temp_above7,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,242,lowmarsh,plot,
Delta_Temp_Above(8),delta_temp_above8,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,252,lowmarsh,plot,
Delta_Temp_Above(9),delta_temp_above9,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,262,lowmarsh,plot,
Delta_Temp_Air(1),delta_temp_air1,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,240,lowmarsh,plot,
Delta_Temp_Air(2),delta_temp_air2,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,250,lowmarsh,plot,
Delta_Temp_Air(3),delta_temp_air3,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,260,lowmarsh,plot,
Delta_Temp_Air(4),delta_temp_air4,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,241,lowmarsh,plot,
Delta_Temp_Air(5),delta_temp_air5,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,251,lowmarsh,plot,
Delta_Temp_Air(6),delta_temp_air6,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,261,lowmarsh,plot,
Delta_Temp_Air(7),delta_temp_air7,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,242,lowmarsh,plot,
Delta_Temp_Air(8),delta_temp_air8,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,252,lowmarsh,plot,
Delta_Temp_Air(9),delta_temp_air9,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,262,lowmarsh,plot,
Pin(1),pin1,plot,pin,temperature of pin sensor at -20cm depth ,celcius,240,lowmarsh,plot,
Pin(2),pin2,plot,pin,temperature of pin sensor at -20cm depth ,celcius,250,lowmarsh,plot,
Pin(3),pin3,plot,pin,temperature of pin sensor at -20cm depth ,celcius,260,lowmarsh,plot,
Pin(4),pin4,plot,pin,temperature of pin sensor at -20cm depth ,celcius,241,lowmarsh,plot,
Pin(5),pin5,plot,pin,temperature of pin sensor at -20cm depth ,celcius,251,lowmarsh,plot,
Pin(6),pin6,plot,pin,temperature of pin sensor at -20cm depth ,celcius,261,lowmarsh,plot,
Pin(7),pin7,plot,pin,temperature of pin sensor at -20cm depth ,celcius,242,lowmarsh,plot,
Pin(8),pin8,plot,pin,temperature of pin sensor at -20cm depth ,celcius,252,lowmarsh,plot,
Pin(9),pin9,plot,pin,temperature of pin sensor at -20cm depth ,celcius,262,lowmarsh,plot,
Lag(1),lag1,plot,lag,temperature of lag sensor at -20cm depth ,celcius,240,lowmarsh,plot,
Lag(2),lag2,plot,lag,temperature of lag sensor at -20cm depth ,celcius,250,lowmarsh,plot,
Lag(3),lag3,plot,lag,temperature of lag sensor at -20cm depth ,celcius,260,lowmarsh,plot,
Lag(4),lag4,plot,lag,temperature of lag sensor at -20cm depth ,celcius,241,lowmarsh,plot,
Lag(5),lag5,plot,lag,temperature of lag sensor at -20cm depth ,celcius,251,lowmarsh,plot,
Lag(6),lag6,plot,lag,temperature of lag sensor at -20cm depth ,celcius,261,lowmarsh,plot,
Lag(7),lag7,plot,lag,temperature of lag sensor at -20cm depth ,celcius,242,lowmarsh,plot,
Lag(8),lag8,plot,lag,temperature of lag sensor at -20cm depth ,celcius,252,lowmarsh,plot,
Lag(9),lag9,plot,lag,temperature of lag sensor at -20cm depth ,celcius,262,lowmarsh,plot,
Surface(1),surface1,plot,surface,temperature of surface sensor at -5cm depth ,celcius,240,lowmarsh,plot,
Surface(2),surface2,plot,surface,temperature of surface sensor at -5cm depth ,celcius,250,lowmarsh,plot,
Surface(3),surface3,plot,surface,temperature of surface sensor at -5cm depth ,celcius,260,lowmarsh,plot,
Surface(4),surface4,plot,surface,temperature of surface sensor at -5cm depth ,celcius,241,lowmarsh,plot,
Surface(5),surface5,plot,surface,temperature of surface sensor at -5cm depth ,celcius,251,lowmarsh,plot,
Surface(6),surface6,plot,surface,temperature of surface sensor at -5cm depth ,celcius,261,lowmarsh,plot,
Surface(7),surface7,plot,surface,temperature of surface sensor at -5cm depth ,celcius,242,lowmarsh,plot,
Surface(8),surface8,plot,surface,temperature of surface sensor at -5cm depth ,celcius,252,lowmarsh,plot,
Surface(9),surface9,plot,surface,temperature of surface sensor at -5cm depth ,celcius,262,lowmarsh,plot,
Deep(1),deep1,plot,deep,temperature of deep sensor at -75cm depth ,celcius,240,lowmarsh,plot,
Deep(2),deep2,plot,deep,temperature of deep sensor at -75cm depth ,celcius,250,lowmarsh,plot,
Deep(3),deep3,plot,deep,temperature of deep sensor at -75cm depth ,celcius,260,lowmarsh,plot,
Deep(4),deep4,plot,deep,temperature of deep sensor at -75cm depth ,celcius,241,lowmarsh,plot,
Deep(5),deep5,plot,deep,temperature of deep sensor at -75cm depth ,celcius,251,lowmarsh,plot,
Deep(6),deep6,plot,deep,temperature of deep sensor at -75cm depth ,celcius,261,lowmarsh,plot,
Deep(7),deep7,plot,deep,temperature of deep sensor at -75cm depth ,celcius,242,lowmarsh,plot,
Deep(8),deep8,plot,deep,temperature of deep sensor at -75cm depth ,celcius,252,lowmarsh,plot,
Deep(9),deep9,plot,deep,temperature of deep sensor at -75cm depth ,celcius,262,lowmarsh,plot,
Above(1),above1,plot,above,temperature of above sensor at canopy height ,celcius,240,lowmarsh,plot,
Above(2),above2,plot,above,temperature of above sensor at canopy height ,celcius,250,lowmarsh,plot,
Above(3),above3,plot,above,temperature of above sensor at canopy height ,celcius,260,lowmarsh,plot,
Above(4),above4,plot,above,temperature of above sensor at canopy height ,celcius,241,lowmarsh,plot,
Above(5),above5,plot,above,temperature of above sensor at canopy height ,celcius,251,lowmarsh,plot,
Above(6),above6,plot,above,temperature of above sensor at canopy height ,celcius,261,lowmarsh,plot,
Above(7),above7,plot,above,temperature of above sensor at canopy height ,celcius,242,lowmarsh,plot,
Above(8),above8,plot,above,temperature of above sensor at canopy height ,celcius,252,lowmarsh,plot,
Above(9),above9,plot,above,temperature of above sensor at canopy height ,celcius,262,lowmarsh,plot,
Air(1),air1,plot,air,temperature of air sensor at 50cm height ,celcius,240,lowmarsh,plot,
Air(2),air2,plot,air,temperature of air sensor at 50cm height ,celcius,250,lowmarsh,plot,
Air(3),air3,plot,air,temperature of air sensor at 50cm height ,celcius,260,lowmarsh,plot,
Air(4),air4,plot,air,temperature of air sensor at 50cm height ,celcius,241,lowmarsh,plot,
Air(5),air5,plot,air,temperature of air sensor at 50cm height ,celcius,251,lowmarsh,plot,
Air(6),air6,plot,air,temperature of air sensor at 50cm height ,celcius,261,lowmarsh,plot,
Air(7),air7,plot,air,temperature of air sensor at 50cm height ,celcius,242,lowmarsh,plot,
Air(8),air8,plot,air,temperature of air sensor at 50cm height ,celcius,252,lowmarsh,plot,
Air(9),air9,plot,air,temperature of air sensor at 50cm height ,celcius,262,lowmarsh,plot,
PinR(1),pinr1,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,240,lowmarsh,plot,
PinR(2),pinr2,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,250,lowmarsh,plot,
PinR(3),pinr3,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,260,lowmarsh,plot,
PinR(4),pinr4,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,241,lowmarsh,plot,
PinR(5),pinr5,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,251,lowmarsh,plot,
PinR(6),pinr6,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,261,lowmarsh,plot,
PinR(7),pinr7,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,242,lowmarsh,plot,
PinR(8),pinr8,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,252,lowmarsh,plot,
PinR(9),pinr9,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,262,lowmarsh,plot,
LagR(1),lagr1,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,240,lowmarsh,plot,
LagR(2),lagr2,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,250,lowmarsh,plot,
LagR(3),lagr3,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,260,lowmarsh,plot,
LagR(4),lagr4,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,241,lowmarsh,plot,
LagR(5),lagr5,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,251,lowmarsh,plot,
LagR(6),lagr6,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,261,lowmarsh,plot,
LagR(7),lagr7,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,242,lowmarsh,plot,
LagR(8),lagr8,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,252,lowmarsh,plot,
LagR(9),lagr9,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,262,lowmarsh,plot,
SurfaceR(1),surfacer1,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,240,lowmarsh,plot,
SurfaceR(2),surfacer2,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,250,lowmarsh,plot,
SurfaceR(3),surfacer3,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,260,lowmarsh,plot,
SurfaceR(4),surfacer4,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,241,lowmarsh,plot,
SurfaceR(5),surfacer5,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,251,lowmarsh,plot,
SurfaceR(6),surfacer6,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,261,lowmarsh,plot,
SurfaceR(7),surfacer7,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,242,lowmarsh,plot,
SurfaceR(8),surfacer8,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,252,lowmarsh,plot,
SurfaceR(9),surfacer9,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,262,lowmarsh,plot,
DeepR(1),deepr1,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,240,lowmarsh,plot,
DeepR(2),deepr2,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,250,lowmarsh,plot,
DeepR(3),deepr3,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,260,lowmarsh,plot,
DeepR(4),deepr4,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,241,lowmarsh,plot,
DeepR(5),deepr5,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,251,lowmarsh,plot,
DeepR(6),deepr6,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,261,lowmarsh,plot,
DeepR(7),deepr7,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,242,lowmarsh,plot,
DeepR(8),deepr8,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,252,lowmarsh,plot,
DeepR(9),deepr9,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,262,lowmarsh,plot,
AboveR(1),abover1,plot,abover,3 minute running average of above sensor at canopy height ,celcius,240,lowmarsh,plot,
AboveR(2),abover2,plot,abover,3 minute running average of above sensor at canopy height ,celcius,250,lowmarsh,plot,
AboveR(3),abover3,plot,abover,3 minute running average of above sensor at canopy height ,celcius,260,lowmarsh,plot,
AboveR(4),abover4,plot,abover,3 minute running average of above sensor at canopy height ,celcius,241,lowmarsh,plot,
AboveR(5),abover5,plot,abover,3 minute running average of above sensor at canopy height ,celcius,251,lowmarsh,plot,
AboveR(6),abover6,plot,abover,3 minute running average of above sensor at canopy height ,celcius,261,lowmarsh,plot,
AboveR(7),abover7,plot,abover,3 minute running average of above sensor at canopy height ,celcius,242,lowmarsh,plot,
AboveR(8),abover8,plot,abover,3 minute running average of above sensor at canopy height ,celcius,252,lowmarsh,plot,
AboveR(9),abover9,plot,abover,3 minute running average of above sensor at canopy height ,celcius,262,lowmarsh,plot,
AirR(1),airr1,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,240,lowmarsh,plot,
AirR(2),airr2,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,250,lowmarsh,plot,
AirR(3),airr3,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,260,lowmarsh,plot,
AirR(4),airr4,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,241,lowmarsh,plot,
AirR(5),airr5,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,251,lowmarsh,plot,
AirR(6),airr6,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,261,lowmarsh,plot,
AirR(7),airr7,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,242,lowmarsh,plot,
AirR(8),airr8,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,252,lowmarsh,plot,
AirR(9),airr9,plot,airr,3 minute running average of air sensor at 50cm height ,celcius,262,lowmarsh,plot,
Parse_Code(1),parse_code1,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,240,lowmarsh,plot,
Parse_Code(2),parse_code2,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,250,lowmarsh,plot,
Parse_Code(3),parse_code3,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,260,lowmarsh,plot,
Parse_Code(4),parse_code4,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,241,lowmarsh,plot,
Parse_Code(5),parse_code5,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,251,lowmarsh,plot,
Parse_Code(6),parse_code6,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,261,lowmarsh,plot,
Parse_Code(7),parse_code7,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,242,lowmarsh,plot,
Parse_Code(8),parse_code8,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,252,lowmarsh,plot,
Parse_Code(9),parse_code9,plot,parse_code,'Code divides 7 digit number into successive samller numbers and fractional remains becomes code For sesnors: 0 is normal operation- 1 is warning -2 is NAN based on Arduino,,262,lowmarsh,plot,
ReadErrors(1),readerrors1,plot,readerrors,arduino register read error,,240,lowmarsh,plot,
ReadErrors(2),readerrors2,plot,readerrors,arduino register read error,,250,lowmarsh,plot,
ReadErrors(3),readerrors3,plot,readerrors,arduino register read error,,260,lowmarsh,plot,
ReadErrors(4),readerrors4,plot,readerrors,arduino register read error,,241,lowmarsh,plot,
ReadErrors(5),readerrors5,plot,readerrors,arduino register read error,,251,lowmarsh,plot,
ReadErrors(6),readerrors6,plot,readerrors,arduino register read error,,261,lowmarsh,plot,
ReadErrors(7),readerrors7,plot,readerrors,arduino register read error,,242,lowmarsh,plot,
ReadErrors(8),readerrors8,plot,readerrors,arduino register read error,,252,lowmarsh,plot,
ReadErrors(9),readerrors9,plot,readerrors,arduino register read error,,262,lowmarsh,plot,
WriteErrors(1),writeerrors1,plot,writeerrors,arduino register write error,,240,lowmarsh,plot,
WriteErrors(2),writeerrors2,plot,writeerrors,arduino register write error,,250,lowmarsh,plot,
WriteErrors(3),writeerrors3,plot,writeerrors,arduino register write error,,260,lowmarsh,plot,
WriteErrors(4),writeerrors4,plot,writeerrors,arduino register write error,,241,lowmarsh,plot,
WriteErrors(5),writeerrors5,plot,writeerrors,arduino register write error,,251,lowmarsh,plot,
WriteErrors(6),writeerrors6,plot,writeerrors,arduino register write error,,261,lowmarsh,plot,
WriteErrors(7),writeerrors7,plot,writeerrors,arduino register write error,,242,lowmarsh,plot,
WriteErrors(8),writeerrors8,plot,writeerrors,arduino register write error,,252,lowmarsh,plot,
WriteErrors(9),writeerrors9,plot,writeerrors,arduino register write error,,262,lowmarsh,plot,
Surface_Soil_Check_Avg(1),surface_soil_check_avg1,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,240,lowmarsh,plot,
Surface_Soil_Check_Avg(2),surface_soil_check_avg2,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,250,lowmarsh,plot,
Surface_Soil_Check_Avg(3),surface_soil_check_avg3,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,260,lowmarsh,plot,
Surface_Soil_Check_Avg(4),surface_soil_check_avg4,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,241,lowmarsh,plot,
Surface_Soil_Check_Avg(5),surface_soil_check_avg5,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,251,lowmarsh,plot,
Surface_Soil_Check_Avg(6),surface_soil_check_avg6,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,261,lowmarsh,plot,
Surface_Soil_Check_Avg(7),surface_soil_check_avg7,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,242,lowmarsh,plot,
Surface_Soil_Check_Avg(8),surface_soil_check_avg8,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,252,lowmarsh,plot,
Surface_Soil_Check_Avg(9),surface_soil_check_avg9,plot,surface_soil_check_avg, Surface_Soil_Check(k)= Delta_Temp_Surface(k)-Target_Surface(k),celcius,262,lowmarsh,plot,
Pin_Soil_Check_Avg(1),pin_soil_check_avg1,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,240,lowmarsh,plot,
Pin_Soil_Check_Avg(2),pin_soil_check_avg2,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,250,lowmarsh,plot,
Pin_Soil_Check_Avg(3),pin_soil_check_avg3,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,260,lowmarsh,plot,
Pin_Soil_Check_Avg(4),pin_soil_check_avg4,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,241,lowmarsh,plot,
Pin_Soil_Check_Avg(5),pin_soil_check_avg5,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,251,lowmarsh,plot,
Pin_Soil_Check_Avg(6),pin_soil_check_avg6,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,261,lowmarsh,plot,
Pin_Soil_Check_Avg(7),pin_soil_check_avg7,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,242,lowmarsh,plot,
Pin_Soil_Check_Avg(8),pin_soil_check_avg8,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,252,lowmarsh,plot,
Pin_Soil_Check_Avg(9),pin_soil_check_avg9,plot,pin_soil_check_avg,  Pin_Soil_Check(k)= Delta_Temp_Pin(k)-Target_Pin(k),celcius,262,lowmarsh,plot,
Surface_Soil_Message(1),surface_soil_message1,plot,surface_soil_message,see program,,240,lowmarsh,plot,
Surface_Soil_Message(2),surface_soil_message2,plot,surface_soil_message,see program,,250,lowmarsh,plot,
Surface_Soil_Message(3),surface_soil_message3,plot,surface_soil_message,see program,,260,lowmarsh,plot,
Surface_Soil_Message(4),surface_soil_message4,plot,surface_soil_message,see program,,241,lowmarsh,plot,
Surface_Soil_Message(5),surface_soil_message5,plot,surface_soil_message,see program,,251,lowmarsh,plot,
Surface_Soil_Message(6),surface_soil_message6,plot,surface_soil_message,see program,,261,lowmarsh,plot,
Surface_Soil_Message(7),surface_soil_message7,plot,surface_soil_message,see program,,242,lowmarsh,plot,
Surface_Soil_Message(8),surface_soil_message8,plot,surface_soil_message,see program,,252,lowmarsh,plot,
Surface_Soil_Message(9),surface_soil_message9,plot,surface_soil_message,see program,,262,lowmarsh,plot,
Surface_Soil_Eveness(2),surface_soil_eveness2,treatment,surface_soil_eveness_1.5,see program,,lowmarsh,lowmarsh,logger,
Surface_Soil_Eveness(3),surface_soil_eveness3,treatment,surface_soil_eveness_3,see program,,lowmarsh,lowmarsh,logger,
Pin_Soil_Message(1),pin_soil_message1,plot,pin_soil_message,see program,,240,lowmarsh,plot,
Pin_Soil_Message(2),pin_soil_message2,plot,pin_soil_message,see program,,250,lowmarsh,plot,
Pin_Soil_Message(3),pin_soil_message3,plot,pin_soil_message,see program,,260,lowmarsh,plot,
Pin_Soil_Message(4),pin_soil_message4,plot,pin_soil_message,see program,,241,lowmarsh,plot,
Pin_Soil_Message(5),pin_soil_message5,plot,pin_soil_message,see program,,251,lowmarsh,plot,
Pin_Soil_Message(6),pin_soil_message6,plot,pin_soil_message,see program,,261,lowmarsh,plot,
Pin_Soil_Message(7),pin_soil_message7,plot,pin_soil_message,see program,,242,lowmarsh,plot,
Pin_Soil_Message(8),pin_soil_message8,plot,pin_soil_message,see program,,252,lowmarsh,plot,
Pin_Soil_Message(9),pin_soil_message9,plot,pin_soil_message,see program,,262,lowmarsh,plot,
Pin_Soil_Eveness(2),pin_soil_eveness2,plot,pin_soil_eveness,see program,,lowmarsh,lowmarsh,logger,
Pin_Soil_Eveness(3),pin_soil_eveness3,plot,pin_soil_eveness3,see program,,lowmarsh,lowmarsh,logger,
Raw_Pin(1),raw_pin1,plot,raw_pin,raw raw temperature value from arduino logger value from arduino logger of pin sensor at -20cm depth ,celcius,240,lowmarsh,plot,
